=== START Tue Jun 30 03:04:27 UTC 2026 ===
### SEED 456 best-val finetune ###
--- Tue Jun 30 03:04:27 UTC 2026 :: python scripts/train_lorentz_part.py --data-dir ./data_1m --config-path configs/train_lorentz_part_1m.yaml --run-name jepa_1m_bestft_seed456 --seed 456 --weights logs/ParticleJEPA/best/jepa_1m_seed456_best.pt ---
step: 50/60000 | train_loss: 2.2001 | train_metric: 0.1645
step: 100/60000 | train_loss: 2.1260 | train_metric: 0.1847
step: 150/60000 | train_loss: 2.0959 | train_metric: 0.1930
step: 200/60000 | train_loss: 2.0774 | train_metric: 0.1987
step: 250/60000 | train_loss: 2.0652 | train_metric: 0.2034
step: 300/60000 | train_loss: 2.0548 | train_metric: 0.2070
step: 350/60000 | train_loss: 2.0458 | train_metric: 0.2099
step: 400/60000 | train_loss: 2.0393 | train_metric: 0.2118
step: 450/60000 | train_loss: 2.0326 | train_metric: 0.2142
step: 500/60000 | train_loss: 2.0269 | train_metric: 0.2162
step: 550/60000 | train_loss: 2.0222 | train_metric: 0.2177
step: 600/60000 | train_loss: 2.0186 | train_metric: 0.2189
step: 650/60000 | train_loss: 2.0151 | train_metric: 0.2200
step: 700/60000 | train_loss: 2.0120 | train_metric: 0.2213
step: 750/60000 | train_loss: 2.0095 | train_metric: 0.2224
step: 800/60000 | train_loss: 2.0067 | train_metric: 0.2236
step: 850/60000 | train_loss: 2.0040 | train_metric: 0.2248
step: 900/60000 | train_loss: 2.0009 | train_metric: 0.2265
step: 950/60000 | train_loss: 1.9976 | train_metric: 0.2283
step: 1000/60000 | train_loss: 1.9940 | train_metric: 0.2303
epoch: 1/60 | val_loss: 1.9021 | val_metric: 0.2792
step: 1050/60000 | train_loss: 1.8976 | train_metric: 0.2829
step: 1100/60000 | train_loss: 1.8849 | train_metric: 0.2877
step: 1150/60000 | train_loss: 1.8684 | train_metric: 0.2941
step: 1200/60000 | train_loss: 1.8522 | train_metric: 0.3009
step: 1250/60000 | train_loss: 1.8346 | train_metric: 0.3092
step: 1300/60000 | train_loss: 1.8128 | train_metric: 0.3187
step: 1350/60000 | train_loss: 1.7895 | train_metric: 0.3288
step: 1400/60000 | train_loss: 1.7696 | train_metric: 0.3377
step: 1450/60000 | train_loss: 1.7507 | train_metric: 0.3459
step: 1500/60000 | train_loss: 1.7308 | train_metric: 0.3544
step: 1550/60000 | train_loss: 1.7124 | train_metric: 0.3623
step: 1600/60000 | train_loss: 1.6951 | train_metric: 0.3697
step: 1650/60000 | train_loss: 1.6802 | train_metric: 0.3762
step: 1700/60000 | train_loss: 1.6657 | train_metric: 0.3821
step: 1750/60000 | train_loss: 1.6517 | train_metric: 0.3878
step: 1800/60000 | train_loss: 1.6375 | train_metric: 0.3938
step: 1850/60000 | train_loss: 1.6251 | train_metric: 0.3990
step: 1900/60000 | train_loss: 1.6125 | train_metric: 0.4041
step: 1950/60000 | train_loss: 1.6014 | train_metric: 0.4087
step: 2000/60000 | train_loss: 1.5906 | train_metric: 0.4132
epoch: 2/60 | val_loss: 1.5607 | val_metric: 0.4396
step: 2050/60000 | train_loss: 1.3713 | train_metric: 0.5023
step: 2100/60000 | train_loss: 1.3695 | train_metric: 0.5036
step: 2150/60000 | train_loss: 1.3676 | train_metric: 0.5047
step: 2200/60000 | train_loss: 1.3639 | train_metric: 0.5062
step: 2250/60000 | train_loss: 1.3630 | train_metric: 0.5063
step: 2300/60000 | train_loss: 1.3577 | train_metric: 0.5079
step: 2350/60000 | train_loss: 1.3556 | train_metric: 0.5083
step: 2400/60000 | train_loss: 1.3516 | train_metric: 0.5101
step: 2450/60000 | train_loss: 1.3490 | train_metric: 0.5113
step: 2500/60000 | train_loss: 1.3437 | train_metric: 0.5133
step: 2550/60000 | train_loss: 1.3395 | train_metric: 0.5152
