Phase 2 (tag=1m_ragged) — seeds [123, 456] | GPU 0 | out ./experiments/phase2/results_ragged

############################################################
# SEED 123
############################################################
step: 50/30000 | embedding_loss: 1.199962 | ema_momentum: 0.99900
step: 100/30000 | embedding_loss: 0.809754 | ema_momentum: 0.99900
step: 150/30000 | embedding_loss: 0.622053 | ema_momentum: 0.99901
step: 200/30000 | embedding_loss: 0.521100 | ema_momentum: 0.99901
step: 250/30000 | embedding_loss: 0.456942 | ema_momentum: 0.99901
step: 300/30000 | embedding_loss: 0.411598 | ema_momentum: 0.99901
step: 350/30000 | embedding_loss: 0.377362 | ema_momentum: 0.99901
step: 400/30000 | embedding_loss: 0.350045 | ema_momentum: 0.99901
step: 450/30000 | embedding_loss: 0.327506 | ema_momentum: 0.99901
step: 500/30000 | embedding_loss: 0.308408 | ema_momentum: 0.99902
step: 550/30000 | embedding_loss: 0.291953 | ema_momentum: 0.99902
step: 600/30000 | embedding_loss: 0.277586 | ema_momentum: 0.99902
step: 650/30000 | embedding_loss: 0.264909 | ema_momentum: 0.99902
step: 700/30000 | embedding_loss: 0.253639 | ema_momentum: 0.99902
step: 750/30000 | embedding_loss: 0.243502 | ema_momentum: 0.99903
step: 800/30000 | embedding_loss: 0.234322 | ema_momentum: 0.99903
step: 850/30000 | embedding_loss: 0.225957 | ema_momentum: 0.99903
step: 900/30000 | embedding_loss: 0.218299 | ema_momentum: 0.99903
step: 950/30000 | embedding_loss: 0.211268 | ema_momentum: 0.99903
step: 1000/30000 | embedding_loss: 0.204773 | ema_momentum: 0.99903
epoch: 1/30 | train_loss: 0.204773 | val_loss: 0.006750
  Saved context encoder weights → ./logs/ParticleJEPA/best/jepa_1m_ragged_seed123.pt
  Saved context encoder weights → ./logs/ParticleJEPA/best/jepa_1m_ragged_seed123_best.pt
step: 1050/30000 | embedding_loss: 0.078455 | ema_momentum: 0.99904
step: 1100/30000 | embedding_loss: 0.077251 | ema_momentum: 0.99904
step: 1150/30000 | embedding_loss: 0.076062 | ema_momentum: 0.99904
step: 1200/30000 | embedding_loss: 0.074946 | ema_momentum: 0.99904
step: 1250/30000 | embedding_loss: 0.073913 | ema_momentum: 0.99904
step: 1300/30000 | embedding_loss: 0.072928 | ema_momentum: 0.99904
step: 1350/30000 | embedding_loss: 0.071979 | ema_momentum: 0.99904
step: 1400/30000 | embedding_loss: 0.071049 | ema_momentum: 0.99905
step: 1450/30000 | embedding_loss: 0.070183 | ema_momentum: 0.99905
step: 1500/30000 | embedding_loss: 0.069350 | ema_momentum: 0.99905
step: 1550/30000 | embedding_loss: 0.068575 | ema_momentum: 0.99905
step: 1600/30000 | embedding_loss: 0.067821 | ema_momentum: 0.99905
step: 1650/30000 | embedding_loss: 0.067077 | ema_momentum: 0.99906
step: 1700/30000 | embedding_loss: 0.066359 | ema_momentum: 0.99906
step: 1750/30000 | embedding_loss: 0.065683 | ema_momentum: 0.99906
step: 1800/30000 | embedding_loss: 0.065033 | ema_momentum: 0.99906
step: 1850/30000 | embedding_loss: 0.064405 | ema_momentum: 0.99906
step: 1900/30000 | embedding_loss: 0.063794 | ema_momentum: 0.99906
